[SEND] sair
t: 0	 tv: 0	 rpm: 828	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 832	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 832	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 831	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 828	 v: 14	 vb: 1	 pwm: 20	 sum: -30.00
t: 0	 tv: 0	 rpm: 988	 v: 17	 vb: 1	 pwm: 20	 sum: 0.00
t: 8	 tv: 0	 rpm: 1448	 v: 25	 vb: 1	 pwm: 20	 sum: 0.00
t: 15	 tv: 0	 rpm: 1058	 v: 18	 vb: 1	 pwm: 20	 sum: 0.00
t: 13	 tv: 0	 rpm: 1201	 v: 21	 vb: 1	 pwm: 20	 sum: 0.00
t: 25	 tv: 0	 rpm: 1982	 v: 34	 vb: 1	 pwm: 20	 sum: 0.00
t: 23	 tv: 0	 rpm: 2152	 v: 36	 vb: 1	 pwm: 20	 sum: 0.00
t: 31	 tv: 0	 rpm: 1339	 v: 23	 vb: 1	 pwm: 20	 sum: 0.00
t: 42	 tv: 0	 rpm: 1697	 v: 29	 vb: 1	 pwm: 20	 sum: 0.00
t: 49	 tv: 0	 rpm: 2059	 v: 35	 vb: 1	 pwm: 20	 sum: 0.00
t: 52	 tv: 0	 rpm: 2466	 v: 42	 vb: 1	 pwm: 20	 sum: 0.00
t: 53	 tv: 0	 rpm: 2835	 v: 48	 vb: 1	 pwm: 20	 sum: 0.00
t: 0	 tv: 0	 rpm: 2590	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 40	 tv: 0	 rpm: 1956	 v: 33	 vb: 1	 pwm: 20	 sum: 0.00
t: 44	 tv: 0	 rpm: 2098	 v: 35	 vb: 1	 pwm: 20	 sum: 0.00
t: 45	 tv: 0	 rpm: 2250	 v: 38	 vb: 1	 pwm: 20	 sum: 0.00
t: 43	 tv: 0	 rpm: 2384	 v: 40	 vb: 1	 pwm: 20	 sum: 0.00
