[SEND] parear
RESET
OK
ROLE=1
OK
CMODE=0
OK
INIT
OK
BIND=8818,56,6898EB
OK
PAIR=8818,56,6898EB,10
OK
LINK=8818,56,6898EB
OK
ATZ
>
ATSP5
>
t: 0	 tv: 0	 rpm: 0	 v: 1	 vb: 1	 pwm: 20	 sum: -30.00
t: 41	 tv: 0	 rpm: 2496	 v: 42	 vb: 1	 pwm: 20	 sum: 0.00
t: 40	 tv: 0	 rpm: 2496	 v: 42	 vb: 1	 pwm: 20	 sum: 0.00
t: 39	 tv: 0	 rpm: 2496	 v: 42	 vb: 1	 pwm: 20	 sum: 0.00
t: 38	 tv: 0	 rpm: 2496	 v: 42	 vb: 1	 pwm: 20	 sum: 0.00
t: 38	 tv: 0	 rpm: 2615	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 34	 tv: 0	 rpm: 2560	 v: 43	 vb: 1	 pwm: 20	 sum: 0.00
t: 33	 tv: 0	 rpm: 2560	 v: 43	 vb: 1	 pwm: 20	 sum: 0.00
t: 33	 tv: 0	 rpm: 2560	 v: 43	 vb: 1	 pwm: 20	 sum: 0.00
t: 31	 tv: 0	 rpm: 2560	 v: 43	 vb: 1	 pwm: 20	 sum: 0.00
t: 31	 tv: 0	 rpm: 2624	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 31	 tv: 0	 rpm: 2624	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 31	 tv: 0	 rpm: 2624	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 31	 tv: 0	 rpm: 2624	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 32	 tv: 0	 rpm: 2684	 v: 45	 vb: 1	 pwm: 20	 sum: 0.00
t: 33	 tv: 0	 rpm: 2624	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 34	 tv: 0	 rpm: 2624	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 38	 tv: 0	 rpm: 2624	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 39	 tv: 0	 rpm: 2624	 v: 44	 vb: 1	 pwm: 20	 sum: 0.00
t: 41	 tv: 0	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: 0.00
t: 43	 tv: 0	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: 0.00
t: 0	 tv: 0	 rpm: 2752	 v: 46	 vb: 1	 pwm: 20	 sum: 0.00
t: 38	 tv: 0	 rpm: 2688	 v: 45	 vb: 1	 pwm: 20	 sum: 0.00
t: 36	 tv: 0	 rpm: 2304	 v: 39	 vb: 1	 pwm: 20	 sum: 0.00
t: 33	 tv: 0	 rpm: 2357	 v: 40	 vb: 1	 pwm: 20	 sum: 0.00
