[SEND] sair
t: 25	 tv: 1	 rpm: 2487	 v: 42	 vb: 42	 pwm: 20	 sum: -291.55
t: 17	 tv: 1	 rpm: 2509	 v: 42	 vb: 42	 pwm: 20	 sum: -326.11
t: 16	 tv: 1	 rpm: 2537	 v: 43	 vb: 42	 pwm: 20	 sum: -360.72
t: 15	 tv: 1	 rpm: 2559	 v: 43	 vb: 42	 pwm: 20	 sum: -396.30
t: 15	 tv: 1	 rpm: 2561	 v: 43	 vb: 42	 pwm: 20	 sum: -430.06
t: 15	 tv: 1	 rpm: 2578	 v: 43	 vb: 42	 pwm: 20	 sum: -464.84
t: 16	 tv: 1	 rpm: 2608	 v: 44	 vb: 42	 pwm: 20	 sum: -500.40
t: 16	 tv: 1	 rpm: 2632	 v: 44	 vb: 42	 pwm: 20	 sum: -535.62
t: 16	 tv: 1	 rpm: 2660	 v: 45	 vb: 42	 pwm: 20	 sum: -572.01
t: 16	 tv: 1	 rpm: 2669	 v: 45	 vb: 42	 pwm: 20	 sum: -607.73
t: 15	 tv: 1	 rpm: 2705	 v: 46	 vb: 42	 pwm: 20	 sum: -644.09
t: 18	 tv: 1	 rpm: 2711	 v: 46	 vb: 42	 pwm: 20	 sum: -680.36
t: 4	 tv: 1	 rpm: 2318	 v: 39	 vb: 42	 pwm: 20	 sum: -711.79
t: 7	 tv: 1	 rpm: 2372	 v: 40	 vb: 42	 pwm: 20	 sum: -744.20
t: 9	 tv: 1	 rpm: 2352	 v: 40	 vb: 42	 pwm: 20	 sum: -776.30
t: 12	 tv: 1	 rpm: 2362	 v: 40	 vb: 42	 pwm: 20	 sum: -808.55
t: 15	 tv: 1	 rpm: 2395	 v: 40	 vb: 42	 pwm: 20	 sum: -840.14
t: 22	 tv: 1	 rpm: 2442	 v: 41	 vb: 42	 pwm: 20	 sum: -874.02
t: 23	 tv: 1	 rpm: 2474	 v: 42	 vb: 42	 pwm: 20	 sum: -907.68
t: 22	 tv: 1	 rpm: 2501	 v: 42	 vb: 42	 pwm: 20	 sum: -940.97
t: 20	 tv: 1	 rpm: 2534	 v: 43	 vb: 42	 pwm: 20	 sum: -975.45
